AircraftType,AirportName,AltitudeBin,MakeModel,WildlifeSize,ConditionsSky,PilotWarned,FlightPhase,Month,Year,IsSevere
Airplane,LAGUARDIA NY,"(1000, 2000]",B-737-400,Medium,No Cloud,N,Climb,11,2000,1
Airplane,DALLAS/FORT WORTH INTL ARPT,"(-1, 0]",MD-80,Small,Some Cloud,Y,Landing Roll,7,2001,1
Airplane,LAKEFRONT AIRPORT,"(30, 50]",C-500,Small,No Cloud,N,Approach,9,2001,0
Airplane,SEATTLE-TACOMA INTL,"(30, 50]",B-737-400,Small,Some Cloud,Y,Climb,9,2002,0
Airplane,NORFOLK INTL,"(30, 50]",CL-RJ100/200,Small,No Cloud,N,Approach,6,2003,0
Airplane,GUAYAQUIL/S BOLIVAR,"(-1, 0]",A-300,Small,No Cloud,N,Take-off run,7,2003,0
Airplane,NEW CASTLE COUNTY,"(100, 200]",LEARJET-25,Small,No Cloud,N,Climb,8,2003,1
Airplane,WASHINGTON DULLES INTL ARPT,"(50, 100]",A-320,Small,Some Cloud,Y,Approach,3,2006,1
Airplane,ATLANTA INTL,"(-1, 0]",DC-9-30,Small,Some Cloud,N,Take-off run,1,2000,0
Airplane,ORLANDO SANFORD INTL AIRPORT,"(-1, 0]",A-330,Small,Some Cloud,N,Landing Roll,1,2000,0
Airplane,ONTARIO INTL ARPT,"(100, 200]",A-320,Small,Some Cloud,N,Approach,1,2000,0
Airplane,CHICAGO O'HARE INTL ARPT,"(1000, 2000]",FOKKER F100,Large,No Cloud,N,Approach,1,2000,1
Airplane,GROTON-NEW LONDON AR,"(-1, 0]",C-421,Small,Overcast,N,Landing Roll,1,2000,0
Airplane,SPIRIT OF ST LOUIS,"(1000, 2000]",C-560,Small,Overcast,N,Approach,1,2000,0
Airplane,THEODORE FRANCIS GREEN STATE,"(30, 50]",B-737-200,Small,No Cloud,N,Approach,1,2000,0
Airplane,KANSAS CITY INTL,"(400, 600]",MD-80,Large,Some Cloud,Y,Approach,2,2000,0
Airplane,LIHUE ARPT,"(-1, 0]",DC-9-50,Small,No Cloud,Y,Take-off run,2,2000,0
Airplane,PHOENIX SKY HARBOR,"(-1, 0]",B-737,Small,Overcast,N,Landing Roll,2,2000,0
Airplane,NASHVILLE INTL,"(600, 1000]",B-737-400,Small,Some Cloud,N,Climb,2,2000,0
Airplane,JIM HAMILTON L B OWENS ARPT,"(400, 600]",C-560,Small,Some Cloud,N,Climb,2,2000,1
Airplane,CHICAGO O'HARE INTL ARPT,"(3000, 5000]",B-737-300,Medium,Overcast,N,Climb,2,2000,0
Airplane,WASHINGTON DULLES INTL ARPT,"(1000, 2000]",B-737-200,Medium,No Cloud,Y,Climb,2,2000,0
Airplane,SOUTHWEST FLORIDA INTL ARPT,"(-1, 0]",B-737-400,Large,Some Cloud,Y,Landing Roll,2,2000,0
Airplane,ABERDEEN REGIONAL AR,"(1000, 2000]",SAAB-340,Small,Some Cloud,N,Climb,3,2000,0
Airplane,NEWARK LIBERTY INTL ARPT,"(-1, 0]",MD-82,Small,No Cloud,Y,Landing Roll,3,2000,0
Airplane,ASPEN-PITKIN CO/SARD,"(10, 30]",HAWKER 800,Small,No Cloud,N,Approach,3,2000,0
Airplane,ROCHESTER INTL,"(100, 200]",FOKKER F28 MK 1000,Small,No Cloud,N,Climb,3,2000,0
Airplane,MINNEAPOLIS-ST PAUL INTL,"(50, 100]",B-757-200,Small,Overcast,N,Approach,3,2000,0
Airplane,PUEBLO MEMORIAL ARPT,"(0, 10]",HAWKER 800,Small,No Cloud,N,Approach,3,2000,0
Airplane,WESTCHESTER COUNTY ARPT,"(0, 10]",EMB-135,Medium,No Cloud,Y,Climb,3,2000,0
Airplane,BIRMINGHAM-SHUTTLESWORTH INTL,"(3000, 5000]",DC-9-40,Small,No Cloud,N,Descent,3,2000,0
Airplane,ATLANTA INTL,"(600, 1000]",DC-9-30,Medium,No Cloud,N,Approach,3,2000,0
Airplane,LAGUARDIA NY,"(1000, 2000]",B-727-200,Medium,No Cloud,N,Approach,3,2000,1
Airplane,TAHITI FAAA,"(-1, 0]",DC-10-30,Medium,Some Cloud,N,Landing Roll,3,2000,1
Airplane,ORLANDO INTL,"(-1, 0]",SAAB-340,Medium,Some Cloud,Y,Take-off run,3,2000,0
Airplane,MYRTLE BEACH INTL,"(-1, 0]",B-737,Large,Some Cloud,N,Landing Roll,3,2000,1
Airplane,MINNEAPOLIS-ST PAUL INTL,"(600, 1000]",DC-9-10,Large,Overcast,Y,Climb,3,2000,1
Airplane,LAFAYETTE REGIONAL (LA),"(600, 1000]",SAAB-340,Small,No Cloud,Y,Climb,3,2000,0
Airplane,CLEVELAND-HOPKINS INTL ARPT,"(1000, 2000]",EMB-145,Small,No Cloud,N,Approach,3,2000,0
Airplane,WASHINGTON DULLES INTL ARPT,"(600, 1000]",B-737-300,Small,No Cloud,N,Approach,4,2000,0
Airplane,SAN FRANCISCO INTL ARPT,"(-1, 0]",B-747-1/200,Small,No Cloud,Y,Take-off run,4,2000,0
Airplane,CENTRAL WISCONSIN ARPT,"(30, 50]",SAAB-340,Small,Some Cloud,N,Approach,4,2000,0
Airplane,BARKSDALE AIR FORCE BASE ARPT,"(600, 1000]",B-52H,Medium,No Cloud,Y,Approach,4,2000,0
Airplane,DETROIT METRO WAYNE COUNTY ARPT,"(50, 100]",DC-9,Medium,Some Cloud,N,Climb,4,2000,1
Airplane,MYRTLE BEACH INTL,"(50, 100]",DC-9,Small,No Cloud,N,Climb,4,2000,0
Airplane,SAN FRANCISCO INTL ARPT,"(30, 50]",B-737-500,Small,Some Cloud,Y,Approach,4,2000,0
Airplane,TOLEDO EXPRESS ARPT,"(-1, 0]",CL-RJ100/200,Large,Some Cloud,N,Landing Roll,4,2000,1
Airplane,METRO OAKLAND INTL,"(-1, 0]",B-737-700,Small,Some Cloud,Y,Landing Roll,4,2000,0
Airplane,BIRMINGHAM-SHUTTLESWORTH INTL,"(400, 600]",B-757-200,Small,No Cloud,N,Approach,4,2000,0
